platz,nachname,vorname,partei,stimme
131,Hofmann,Olivier,FDP,NEIN
104,Holenstein,Christoph,CVP,JA
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,JA
87,Huber,Stefanie,GLP,NEIN
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,NEIN
121,Isler,René,SVP,JA
167,Isliker,Walter,SVP,JA
2,Johner,Brigitta,FDP,NEIN
16,Joss,Rosmarie,SP,NEIN
51,Kaeser,Regula,Grüne,JA
77,Keller,Cornelia,BDP,--
128,Kläy,Dieter,FDP,NEIN
088,Kleiber-Schenkel,Ruth,EVP,NEIN
129,Kull-Benz,Katharina,FDP,NEIN
162,Kündig,Jörg,FDP,NEIN
101,Kutter,Philipp,CVP,JA
095,Kyburz,Heinz,EDU,JA
063,Lais,Ruedi,SP,NEIN
007,Lalli,Emy,SP,NEIN
139,Langhard,Walter,SVP,JA
174,Langhart,Konrad,SVP,JA
065,Läubli,Hans,Grüne,JA
106,Lauffer,Urs,FDP,NEIN
080,Lenggenhager,Marcel,BDP,--
045,Loss,Davide,SP,NEIN
137,Lucek,Christian,SVP,JA
026,Mäder,Jörg,GLP,NEIN
015,Maeder-Zuberbühler,Karin,SP,NEIN
022,Margreiter,Ralf,Grüne,JA
181,Marthaler,Thomas,SP,NEIN
036,Marti,Res,Grüne,JA
201,Mauchle,Thea,SP,NEIN
170,Menzi,Ruedi,SVP,JA
153,Mettler,Christian,SVP,JA
029,Meyer,Mattea,SP,NEIN
168,Moor-Schwarz,Ursula,SVP,JA
031,Munz,Roland,SP,NEIN
037,Petri,Gabi,Grüne,--
093,Pinto,Jean-Philippe,CVP,JA
142,Portmann,Hans-Peter,FDP,NEIN
133,Preisig,Peter,SVP,--
157,Raths,Hans Heinrich,SVP,JA
019,Redzic,Alma,Grüne,JA
091,Reinhard,Peter,EVP,NEIN
156,Rinderknecht,Margreth,SVP,JA
090,Ritschard,Peter,EVP,NEIN
068,Rohweder-Lischer,Maria,Grüne,JA
014,Rusca Speck,Susanna,SP,NEIN
107,Sauter,Regine,FDP,--
083,Schaaf,Markus,EVP,NEIN
053,Schaffner,Barbara,GLP,NEIN
173,Scheck,Roland,SVP,JA
085,Scherrer,Benno,GLP,NEIN
115,Scherrer,Werner,FDP,NEIN
120,Schmid,Claudio,SVP,JA
105,Schmid,Lorenz,CVP,JA
3a,Schmid,Roman,SVP,JA
112,Schneebeli,Jakob,SVP,JA
089,Schoch,Walter,EVP,NEIN
146,Schwab,Daniel,FDP,NEIN
052,Schwarzenbach,Benjamin,GLP,NEIN
009,Seiler Graf,Priska,SP,NEIN
061,Seiz-Gut,Silvia,SP,NEIN
180,Senn,Yves,SVP,JA
057,Serra,Jorge,SP,NEIN
059,Sieber,Sabine,SP,NEIN
183,Späth,Markus,SP,NEIN
060,Spillmann,Moritz,SP,NEIN
032,Spring,Monika,SP,NEIN
136,Steinemann,Barbara,SVP,JA
004,Steiner,Rolf,SP,NEIN
092,Steiner,Silvia,CVP,JA
172,Steinmann,Armin,SVP,JA
011,Stofer,Judith,AL,JA
148,Stucker,Rolf,SVP,JA
008,Stutz,Peter,SP,NEIN
166,Sulser,Jürg,SVP,JA
114,Suter,Arnold,SVP,JA
102,Thomet-Bürki,Corinne,CVP,JA
108,Trachsel,Jürg,SVP,JA
150,Uhlmann,Peter,SVP,JA
158,Vogel,Thomas,FDP,NEIN
118,Vogt,Hans-Ueli,SVP,--
070,von Planta,Cyrill,GLP,--
094,Vontobel,Erich,EDU,JA
056,Wahlen,Denise,GLP,NEIN
160,Walker Späh,Carmen,FDP,NEIN
001,Walliser,Bruno,SVP,--
159,Walti,Beat,FDP,NEIN
055,Walti,Rahel,GLP,NEIN
003,Weber-Gachnang,Theresia,SVP,JA
143,Weibel,Katharina,FDP,NEIN
098,Welz,Michael,EDU,JA
163,Wettstein,Sabine,FDP,NEIN
046,Widmer,Céline,SP,NEIN
096,Wiederkehr,Josef,CVP,--
038,Wiesner,Hans,GLP,NEIN
144,Winkler,Gabriela,FDP,NEIN
073,Wirth,Thomas,GLP,NEIN
035,Wolf,Andreas,Grüne,JA
119,Wuhrmann,Heinrich,SVP,JA
141,Wyss,Orlando,SVP,JA
135,Zanetti,Claudio,SVP,JA
040,Zeugin,Michael,GLP,NEIN
039,Ziegler,Christoph,GLP,NEIN
033,Ziegler,Sabine,SP,NEIN
041,Ziltener,Erika,SP,NEIN
122,Zimmermann,Rolf Robert,SVP,JA
084,Zollinger,Johannes,EVP,NEIN
132,Zuber,Martin,SVP,JA
113,Züllig,Hansueli,SVP,JA
